leafLens,usageLens,numUsages
0,1,1
35,1,1
1,2,3
8,1,24
1,1,1
8,1,2
0,3,20
2,4,1
1,3,14
5,3,53
2,2,1
6,2,3
2,2,3
8,1,1
2,3,4
1,3,1
32,3,1
1,3,3
1,2,1
1,3,3
2,2,3
23,2,5
1,3,3
16,1,3
1,4,4
11,3,4
1,3,78
2,2,4
1,1,3
13,1,6
2,1,3
1,1,1
5,5,6
2,3,1
2,2,6
13,5,1
2,5,4
2,5,1
6,5,2
1,3,11
5,5,16
2,3,44
1,2,1
7,5,3
2,4,2
10,3,1
1,2,1
7,3,1
2,6,1
6,3,16
2,3,1
2,3,21
2,1,2
6,1,1
2,2,1
2,2,3
2,1,17
1,1,1
9,1,6
1,4,13
1,4,1
9,1,2
2,3,1
6,2,1
10,1,16
7,5,1
1,2,1
3,4,1
1,3,28
1,3,1
1,3,3
1,5,1
3,4,6
1,3,30
1,4,1
3,2,1
1,4,1
1,5,1
1,4,1
1,4,1
1,4,6
1,4,3
2,5,4
1,5,1
1,3,1
1,3,4
1,3,1
1,5,1
1,3,1
1,4,2
1,2,26
1,4,1
1,4,6
1,4,4
1,5,3
1,3,1
1,3,16
24,5,11
1,3,1
2,4,3
12,4,4
1,1,2
1,2,1
1,2,1
1,3,1
2,4,2
1,5,25
1,4,4
6,5,2
1,4,1
7,2,1
1,3,12
1,3,2
1,4,1
1,4,1
6,3,1
1,5,8
1,2,9
1,2,1
3,4,1
1,1,1
2,3,2
6,3,1
1,2,3
6,1,1
1,1,1
1,1,2
1,1,2
1,2,3
1,2,1
1,1,2
1,2,3
3,1,1
3,1,10
1,2,1
1,2,4
2,2,5
1,1,1
1,2,2
3,2,1
1,2,1
1,1,1
1,2,2
4,1,1
0,3,4
3,2,2
2,3,1
1,3,1
15,1,7
2,2,1
1,2,2
1,1,1
1,1,1
1,1,1
1,1,2
4,3,1
1,2,8
1,3,2
1,2,1
3,2,1
10,3,5
1,2,6
1,1,1
3,4,1
3,6,11
2,4,1
5,8,1
1,5,3
1,4,1
1,4,1
3,3,1
11,8,3
1,6,1
6,4,1
1,4,1
3,6,3
1,3,1
3,5,1
1,9,1
3,1,1
1,8,3
1,7,1
2,8,8
3,8,2
1,9,1
1,8,1
4,6,1
1,5,2
1,6,1
1,5,1
3,6,1
8,6,2
1,6,5
1,4,1
1,4,2
1,7,1
1,6,1
1,10,1
10,8,1
1,5,2
3,7,1
1,6,1
2,6,2
1,5,12
6,7,10
1,6,4
1,9,1
1,4,1
2,6,2
1,6,1
1,6,2
1,6,2
1,4,1
1,6,1
1,8,1
3,5,1
1,5,48
2,5,1
1,6,2
1,8,2
1,2,2
1,6,9
1,4,1
1,9,2
2,6,5
6,7,2
1,3,1
1,6,1
1,7,2
3,6,7
1,4,3
1,9,1
2,10,1
5,7,1
2,3,1
1,1,1
1,6,1
1,7,1
1,2,1
5,9,3
1,7,1
1,1,1
3,2,8
1,2,1
1,1,1
1,2,7
1,1,2
3,2,2
3,3,1
1,1,1
3,1,8
1,3,1
1,2,10
3,3,28
1,1,7
3,1,1
2,2,1
1,1,1
1,3,6
1,1,1
1,2,36
